model,power,prop_na,sample_size,cutpoints,beta_yprev,beta_t,beta_tx,beta_t_tx,tx_end,tx_type,n_sim,datetime
otm,0.084,0,500,NA,NA,-0.02,0,-0.01,3,linear,500,2024-11-01T15:27:49Z
otm_rand_int,0.082,0,500,NA,NA,-0.02,0,-0.01,3,linear,500,2024-11-01T15:27:49Z
rand_int,0.572,0,500,NA,NA,-0.02,0,-0.01,3,linear,500,2024-11-01T15:27:49Z
free_days8,0.066,0,500,NA,NA,-0.02,0,-0.01,3,linear,500,2024-11-01T15:27:49Z
free_days78,0.084,0,500,NA,NA,-0.02,0,-0.01,3,linear,500,2024-11-01T15:27:49Z
free_days678,0.078,0,500,NA,NA,-0.02,0,-0.01,3,linear,500,2024-11-01T15:27:49Z
free_days5678,0.094,0,500,NA,NA,-0.02,0,-0.01,3,linear,500,2024-11-01T15:27:49Z
free_days45678,0.088,0,500,NA,NA,-0.02,0,-0.01,3,linear,500,2024-11-01T15:27:49Z
free_days345678,0.082,0,500,NA,NA,-0.02,0,-0.01,3,linear,500,2024-11-01T15:27:49Z
free_days2345678,0.08,0,500,NA,NA,-0.02,0,-0.01,3,linear,500,2024-11-01T15:27:49Z
ppo_3,0.052,0,500,NA,NA,-0.02,0,-0.01,3,linear,500,2024-11-01T15:27:49Z
ppo_7,0.08,0,500,NA,NA,-0.02,0,-0.01,3,linear,500,2024-11-01T15:27:49Z
ppo_14,0.086,0,500,NA,NA,-0.02,0,-0.01,3,linear,500,2024-11-01T15:27:49Z
ppo_21,0.098,0,500,NA,NA,-0.02,0,-0.01,3,linear,500,2024-11-01T15:27:49Z
ppo_28,0.094,0,500,NA,NA,-0.02,0,-0.01,3,linear,500,2024-11-01T15:27:49Z
cox_prop_state1,0.08,0,500,NA,NA,-0.02,0,-0.01,3,linear,500,2024-11-01T15:27:49Z
cox_spline2_state1,0.072,0,500,NA,NA,-0.02,0,-0.01,3,linear,500,2024-11-01T15:27:49Z
cox_prop_state12,0.08,0,500,NA,NA,-0.02,0,-0.01,3,linear,500,2024-11-01T15:27:49Z
cox_spline2_state12,0.066,0,500,NA,NA,-0.02,0,-0.01,3,linear,500,2024-11-01T15:27:49Z
cox_prop_state123,0.084,0,500,NA,NA,-0.02,0,-0.01,3,linear,500,2024-11-01T15:27:49Z
cox_spline2_state123,0.066,0,500,NA,NA,-0.02,0,-0.01,3,linear,500,2024-11-01T15:27:49Z
otm,0.094,0,100,NA,NA,-0.02,0,-0.02,3,linear,500,2024-10-30T06:38:47Z
otm_rand_int,0.094,0,100,NA,NA,-0.02,0,-0.02,3,linear,500,2024-10-30T06:38:47Z
rand_int,0.604,0,100,NA,NA,-0.02,0,-0.02,3,linear,500,2024-10-30T06:38:47Z
free_days8,0.054,0,100,NA,NA,-0.02,0,-0.02,3,linear,500,2024-10-30T06:38:47Z
free_days78,0.058,0,100,NA,NA,-0.02,0,-0.02,3,linear,500,2024-10-30T06:38:47Z
free_days678,0.058,0,100,NA,NA,-0.02,0,-0.02,3,linear,500,2024-10-30T06:38:47Z
free_days5678,0.06,0,100,NA,NA,-0.02,0,-0.02,3,linear,500,2024-10-30T06:38:47Z
free_days45678,0.088,0,100,NA,NA,-0.02,0,-0.02,3,linear,500,2024-10-30T06:38:47Z
free_days345678,0.088,0,100,NA,NA,-0.02,0,-0.02,3,linear,500,2024-10-30T06:38:47Z
free_days2345678,0.088,0,100,NA,NA,-0.02,0,-0.02,3,linear,500,2024-10-30T06:38:47Z
ppo_3,0.058,0,100,NA,NA,-0.02,0,-0.02,3,linear,500,2024-10-30T06:38:47Z
ppo_7,0.056,0,100,NA,NA,-0.02,0,-0.02,3,linear,500,2024-10-30T06:38:47Z
ppo_14,0.082,0,100,NA,NA,-0.02,0,-0.02,3,linear,500,2024-10-30T06:38:47Z
ppo_21,0.068,0,100,NA,NA,-0.02,0,-0.02,3,linear,500,2024-10-30T06:38:47Z
ppo_28,0.076,0,100,NA,NA,-0.02,0,-0.02,3,linear,500,2024-10-30T06:38:47Z
cox_prop_state1,0.07,0,100,NA,NA,-0.02,0,-0.02,3,linear,500,2024-10-30T06:38:47Z
cox_spline2_state1,0.062,0,100,NA,NA,-0.02,0,-0.02,3,linear,500,2024-10-30T06:38:47Z
cox_prop_state12,0.058,0,100,NA,NA,-0.02,0,-0.02,3,linear,500,2024-10-30T06:38:47Z
cox_spline2_state12,0.06,0,100,NA,NA,-0.02,0,-0.02,3,linear,500,2024-10-30T06:38:47Z
cox_prop_state123,0.048,0,100,NA,NA,-0.02,0,-0.02,3,linear,500,2024-10-30T06:38:47Z
cox_spline2_state123,0.048,0,100,NA,NA,-0.02,0,-0.02,3,linear,500,2024-10-30T06:38:47Z
otm,0.128,0,200,NA,NA,-0.02,0,-0.02,3,linear,500,2024-10-30T14:18:18Z
otm_rand_int,0.118,0,200,NA,NA,-0.02,0,-0.02,3,linear,500,2024-10-30T14:18:18Z
rand_int,0.614,0,200,NA,NA,-0.02,0,-0.02,3,linear,500,2024-10-30T14:18:18Z
free_days8,0.058,0,200,NA,NA,-0.02,0,-0.02,3,linear,500,2024-10-30T14:18:18Z
free_days78,0.066,0,200,NA,NA,-0.02,0,-0.02,3,linear,500,2024-10-30T14:18:18Z
free_days678,0.066,0,200,NA,NA,-0.02,0,-0.02,3,linear,500,2024-10-30T14:18:18Z
free_days5678,0.088,0,200,NA,NA,-0.02,0,-0.02,3,linear,500,2024-10-30T14:18:18Z
free_days45678,0.094,0,200,NA,NA,-0.02,0,-0.02,3,linear,500,2024-10-30T14:18:18Z
free_days345678,0.094,0,200,NA,NA,-0.02,0,-0.02,3,linear,500,2024-10-30T14:18:18Z
free_days2345678,0.1,0,200,NA,NA,-0.02,0,-0.02,3,linear,500,2024-10-30T14:18:18Z
ppo_3,0.046,0,200,NA,NA,-0.02,0,-0.02,3,linear,500,2024-10-30T14:18:18Z
ppo_7,0.066,0,200,NA,NA,-0.02,0,-0.02,3,linear,500,2024-10-30T14:18:18Z
ppo_14,0.07,0,200,NA,NA,-0.02,0,-0.02,3,linear,500,2024-10-30T14:18:18Z
ppo_21,0.076,0,200,NA,NA,-0.02,0,-0.02,3,linear,500,2024-10-30T14:18:18Z
ppo_28,0.104,0,200,NA,NA,-0.02,0,-0.02,3,linear,500,2024-10-30T14:18:18Z
cox_prop_state1,0.088,0,200,NA,NA,-0.02,0,-0.02,3,linear,500,2024-10-30T14:18:18Z
cox_spline2_state1,0.074,0,200,NA,NA,-0.02,0,-0.02,3,linear,500,2024-10-30T14:18:18Z
cox_prop_state12,0.088,0,200,NA,NA,-0.02,0,-0.02,3,linear,500,2024-10-30T14:18:18Z
cox_spline2_state12,0.078,0,200,NA,NA,-0.02,0,-0.02,3,linear,500,2024-10-30T14:18:18Z
cox_prop_state123,0.086,0,200,NA,NA,-0.02,0,-0.02,3,linear,500,2024-10-30T14:18:18Z
cox_spline2_state123,0.084,0,200,NA,NA,-0.02,0,-0.02,3,linear,500,2024-10-30T14:18:18Z
otm,0.178,0,300,NA,NA,-0.02,0,-0.02,3,linear,500,2024-10-31T06:21:07Z
otm_rand_int,0.164,0,300,NA,NA,-0.02,0,-0.02,3,linear,500,2024-10-31T06:21:07Z
rand_int,0.684,0,300,NA,NA,-0.02,0,-0.02,3,linear,500,2024-10-31T06:21:07Z
free_days8,0.072,0,300,NA,NA,-0.02,0,-0.02,3,linear,500,2024-10-31T06:21:07Z
free_days78,0.094,0,300,NA,NA,-0.02,0,-0.02,3,linear,500,2024-10-31T06:21:07Z
free_days678,0.08,0,300,NA,NA,-0.02,0,-0.02,3,linear,500,2024-10-31T06:21:07Z
free_days5678,0.11,0,300,NA,NA,-0.02,0,-0.02,3,linear,500,2024-10-31T06:21:07Z
free_days45678,0.138,0,300,NA,NA,-0.02,0,-0.02,3,linear,500,2024-10-31T06:21:07Z
free_days345678,0.138,0,300,NA,NA,-0.02,0,-0.02,3,linear,500,2024-10-31T06:21:07Z
free_days2345678,0.15,0,300,NA,NA,-0.02,0,-0.02,3,linear,500,2024-10-31T06:21:07Z
ppo_3,0.066,0,300,NA,NA,-0.02,0,-0.02,3,linear,500,2024-10-31T06:21:07Z
ppo_7,0.066,0,300,NA,NA,-0.02,0,-0.02,3,linear,500,2024-10-31T06:21:07Z
ppo_14,0.098,0,300,NA,NA,-0.02,0,-0.02,3,linear,500,2024-10-31T06:21:07Z
ppo_21,0.136,0,300,NA,NA,-0.02,0,-0.02,3,linear,500,2024-10-31T06:21:07Z
ppo_28,0.156,0,300,NA,NA,-0.02,0,-0.02,3,linear,500,2024-10-31T06:21:07Z
cox_prop_state1,0.14,0,300,NA,NA,-0.02,0,-0.02,3,linear,500,2024-10-31T06:21:07Z
cox_spline2_state1,0.122,0,300,NA,NA,-0.02,0,-0.02,3,linear,500,2024-10-31T06:21:07Z
cox_prop_state12,0.128,0,300,NA,NA,-0.02,0,-0.02,3,linear,500,2024-10-31T06:21:07Z
cox_spline2_state12,0.114,0,300,NA,NA,-0.02,0,-0.02,3,linear,500,2024-10-31T06:21:07Z
cox_prop_state123,0.126,0,300,NA,NA,-0.02,0,-0.02,3,linear,500,2024-10-31T06:21:07Z
cox_spline2_state123,0.094,0,300,NA,NA,-0.02,0,-0.02,3,linear,500,2024-10-31T06:21:07Z
otm,0.174,0,400,NA,NA,-0.02,0,-0.02,3,linear,500,2024-10-31T22:09:59Z
otm_rand_int,0.172,0,400,NA,NA,-0.02,0,-0.02,3,linear,500,2024-10-31T22:09:59Z
rand_int,0.674,0,400,NA,NA,-0.02,0,-0.02,3,linear,500,2024-10-31T22:09:59Z
free_days8,0.076,0,400,NA,NA,-0.02,0,-0.02,3,linear,500,2024-10-31T22:09:59Z
free_days78,0.096,0,400,NA,NA,-0.02,0,-0.02,3,linear,500,2024-10-31T22:09:59Z
free_days678,0.108,0,400,NA,NA,-0.02,0,-0.02,3,linear,500,2024-10-31T22:09:59Z
free_days5678,0.134,0,400,NA,NA,-0.02,0,-0.02,3,linear,500,2024-10-31T22:09:59Z
free_days45678,0.148,0,400,NA,NA,-0.02,0,-0.02,3,linear,500,2024-10-31T22:09:59Z
free_days345678,0.142,0,400,NA,NA,-0.02,0,-0.02,3,linear,500,2024-10-31T22:09:59Z
free_days2345678,0.144,0,400,NA,NA,-0.02,0,-0.02,3,linear,500,2024-10-31T22:09:59Z
ppo_3,0.046,0,400,NA,NA,-0.02,0,-0.02,3,linear,500,2024-10-31T22:09:59Z
ppo_7,0.054,0,400,NA,NA,-0.02,0,-0.02,3,linear,500,2024-10-31T22:09:59Z
ppo_14,0.114,0,400,NA,NA,-0.02,0,-0.02,3,linear,500,2024-10-31T22:09:59Z
ppo_21,0.14,0,400,NA,NA,-0.02,0,-0.02,3,linear,500,2024-10-31T22:09:59Z
ppo_28,0.162,0,400,NA,NA,-0.02,0,-0.02,3,linear,500,2024-10-31T22:09:59Z
cox_prop_state1,0.138,0,400,NA,NA,-0.02,0,-0.02,3,linear,500,2024-10-31T22:09:59Z
cox_spline2_state1,0.09,0,400,NA,NA,-0.02,0,-0.02,3,linear,500,2024-10-31T22:09:59Z
cox_prop_state12,0.134,0,400,NA,NA,-0.02,0,-0.02,3,linear,500,2024-10-31T22:09:59Z
cox_spline2_state12,0.102,0,400,NA,NA,-0.02,0,-0.02,3,linear,500,2024-10-31T22:09:59Z
cox_prop_state123,0.12,0,400,NA,NA,-0.02,0,-0.02,3,linear,500,2024-10-31T22:09:59Z
cox_spline2_state123,0.096,0,400,NA,NA,-0.02,0,-0.02,3,linear,500,2024-10-31T22:09:59Z
otm,0.248,0,500,NA,NA,-0.02,0,-0.02,3,linear,500,2024-11-01T16:43:54Z
otm_rand_int,0.242,0,500,NA,NA,-0.02,0,-0.02,3,linear,500,2024-11-01T16:43:54Z
rand_int,0.738,0,500,NA,NA,-0.02,0,-0.02,3,linear,500,2024-11-01T16:43:54Z
free_days8,0.08,0,500,NA,NA,-0.02,0,-0.02,3,linear,500,2024-11-01T16:43:54Z
free_days78,0.084,0,500,NA,NA,-0.02,0,-0.02,3,linear,500,2024-11-01T16:43:54Z
free_days678,0.108,0,500,NA,NA,-0.02,0,-0.02,3,linear,500,2024-11-01T16:43:54Z
free_days5678,0.122,0,500,NA,NA,-0.02,0,-0.02,3,linear,500,2024-11-01T16:43:54Z
free_days45678,0.17,0,500,NA,NA,-0.02,0,-0.02,3,linear,500,2024-11-01T16:43:54Z
free_days345678,0.17,0,500,NA,NA,-0.02,0,-0.02,3,linear,500,2024-11-01T16:43:54Z
free_days2345678,0.172,0,500,NA,NA,-0.02,0,-0.02,3,linear,500,2024-11-01T16:43:54Z
ppo_3,0.064,0,500,NA,NA,-0.02,0,-0.02,3,linear,500,2024-11-01T16:43:54Z
ppo_7,0.07,0,500,NA,NA,-0.02,0,-0.02,3,linear,500,2024-11-01T16:43:54Z
ppo_14,0.13,0,500,NA,NA,-0.02,0,-0.02,3,linear,500,2024-11-01T16:43:54Z
ppo_21,0.168,0,500,NA,NA,-0.02,0,-0.02,3,linear,500,2024-11-01T16:43:54Z
ppo_28,0.202,0,500,NA,NA,-0.02,0,-0.02,3,linear,500,2024-11-01T16:43:54Z
cox_prop_state1,0.166,0,500,NA,NA,-0.02,0,-0.02,3,linear,500,2024-11-01T16:43:54Z
cox_spline2_state1,0.12,0,500,NA,NA,-0.02,0,-0.02,3,linear,500,2024-11-01T16:43:54Z
cox_prop_state12,0.162,0,500,NA,NA,-0.02,0,-0.02,3,linear,500,2024-11-01T16:43:54Z
cox_spline2_state12,0.126,0,500,NA,NA,-0.02,0,-0.02,3,linear,500,2024-11-01T16:43:54Z
cox_prop_state123,0.15,0,500,NA,NA,-0.02,0,-0.02,3,linear,500,2024-11-01T16:43:54Z
cox_spline2_state123,0.13,0,500,NA,NA,-0.02,0,-0.02,3,linear,500,2024-11-01T16:43:54Z
otm,0.056,0,100,NA,NA,-0.02,0,0,7,linear,500,2024-10-30T07:47:15Z
otm_rand_int,0.052,0,100,NA,NA,-0.02,0,0,7,linear,500,2024-10-30T07:47:15Z
rand_int,0.526,0,100,NA,NA,-0.02,0,0,7,linear,500,2024-10-30T07:47:15Z
free_days8,0.058,0,100,NA,NA,-0.02,0,0,7,linear,500,2024-10-30T07:47:15Z
free_days78,0.062,0,100,NA,NA,-0.02,0,0,7,linear,500,2024-10-30T07:47:15Z
free_days678,0.074,0,100,NA,NA,-0.02,0,0,7,linear,500,2024-10-30T07:47:15Z
free_days5678,0.064,0,100,NA,NA,-0.02,0,0,7,linear,500,2024-10-30T07:47:15Z
free_days45678,0.064,0,100,NA,NA,-0.02,0,0,7,linear,500,2024-10-30T07:47:15Z
free_days345678,0.058,0,100,NA,NA,-0.02,0,0,7,linear,500,2024-10-30T07:47:15Z
free_days2345678,0.064,0,100,NA,NA,-0.02,0,0,7,linear,500,2024-10-30T07:47:15Z
ppo_3,0.058,0,100,NA,NA,-0.02,0,0,7,linear,500,2024-10-30T07:47:15Z
ppo_7,0.052,0,100,NA,NA,-0.02,0,0,7,linear,500,2024-10-30T07:47:15Z
ppo_14,0.052,0,100,NA,NA,-0.02,0,0,7,linear,500,2024-10-30T07:47:15Z
ppo_21,0.054,0,100,NA,NA,-0.02,0,0,7,linear,500,2024-10-30T07:47:15Z
ppo_28,0.058,0,100,NA,NA,-0.02,0,0,7,linear,500,2024-10-30T07:47:15Z
cox_prop_state1,0.058,0,100,NA,NA,-0.02,0,0,7,linear,500,2024-10-30T07:47:15Z
cox_spline2_state1,0.048,0,100,NA,NA,-0.02,0,0,7,linear,500,2024-10-30T07:47:15Z
cox_prop_state12,0.058,0,100,NA,NA,-0.02,0,0,7,linear,500,2024-10-30T07:47:15Z
cox_spline2_state12,0.058,0,100,NA,NA,-0.02,0,0,7,linear,500,2024-10-30T07:47:15Z
cox_prop_state123,0.06,0,100,NA,NA,-0.02,0,0,7,linear,500,2024-10-30T07:47:15Z
cox_spline2_state123,0.044,0,100,NA,NA,-0.02,0,0,7,linear,500,2024-10-30T07:47:15Z
otm,0.058,0,200,NA,NA,-0.02,0,0,7,linear,500,2024-10-30T16:11:39Z
otm_rand_int,0.054,0,200,NA,NA,-0.02,0,0,7,linear,500,2024-10-30T16:11:39Z
rand_int,0.552,0,200,NA,NA,-0.02,0,0,7,linear,500,2024-10-30T16:11:39Z
free_days8,0.046,0,200,NA,NA,-0.02,0,0,7,linear,500,2024-10-30T16:11:39Z
free_days78,0.064,0,200,NA,NA,-0.02,0,0,7,linear,500,2024-10-30T16:11:39Z
free_days678,0.066,0,200,NA,NA,-0.02,0,0,7,linear,500,2024-10-30T16:11:39Z
free_days5678,0.056,0,200,NA,NA,-0.02,0,0,7,linear,500,2024-10-30T16:11:39Z
free_days45678,0.058,0,200,NA,NA,-0.02,0,0,7,linear,500,2024-10-30T16:11:39Z
free_days345678,0.058,0,200,NA,NA,-0.02,0,0,7,linear,500,2024-10-30T16:11:39Z
free_days2345678,0.054,0,200,NA,NA,-0.02,0,0,7,linear,500,2024-10-30T16:11:39Z
ppo_3,0.06,0,200,NA,NA,-0.02,0,0,7,linear,500,2024-10-30T16:11:39Z
ppo_7,0.046,0,200,NA,NA,-0.02,0,0,7,linear,500,2024-10-30T16:11:39Z
ppo_14,0.054,0,200,NA,NA,-0.02,0,0,7,linear,500,2024-10-30T16:11:39Z
ppo_21,0.058,0,200,NA,NA,-0.02,0,0,7,linear,500,2024-10-30T16:11:39Z
ppo_28,0.054,0,200,NA,NA,-0.02,0,0,7,linear,500,2024-10-30T16:11:39Z
cox_prop_state1,0.068,0,200,NA,NA,-0.02,0,0,7,linear,500,2024-10-30T16:11:39Z
cox_spline2_state1,0.056,0,200,NA,NA,-0.02,0,0,7,linear,500,2024-10-30T16:11:39Z
cox_prop_state12,0.068,0,200,NA,NA,-0.02,0,0,7,linear,500,2024-10-30T16:11:39Z
cox_spline2_state12,0.048,0,200,NA,NA,-0.02,0,0,7,linear,500,2024-10-30T16:11:39Z
cox_prop_state123,0.07,0,200,NA,NA,-0.02,0,0,7,linear,500,2024-10-30T16:11:39Z
cox_spline2_state123,0.056,0,200,NA,NA,-0.02,0,0,7,linear,500,2024-10-30T16:11:39Z
otm,0.052,0,300,NA,NA,-0.02,0,0,7,linear,500,2024-10-31T06:06:39Z
otm_rand_int,0.05,0,300,NA,NA,-0.02,0,0,7,linear,500,2024-10-31T06:06:39Z
rand_int,0.458,0,300,NA,NA,-0.02,0,0,7,linear,500,2024-10-31T06:06:39Z
free_days8,0.06,0,300,NA,NA,-0.02,0,0,7,linear,500,2024-10-31T06:06:39Z
free_days78,0.06,0,300,NA,NA,-0.02,0,0,7,linear,500,2024-10-31T06:06:39Z
free_days678,0.058,0,300,NA,NA,-0.02,0,0,7,linear,500,2024-10-31T06:06:39Z
free_days5678,0.046,0,300,NA,NA,-0.02,0,0,7,linear,500,2024-10-31T06:06:39Z
free_days45678,0.042,0,300,NA,NA,-0.02,0,0,7,linear,500,2024-10-31T06:06:39Z
free_days345678,0.044,0,300,NA,NA,-0.02,0,0,7,linear,500,2024-10-31T06:06:39Z
free_days2345678,0.046,0,300,NA,NA,-0.02,0,0,7,linear,500,2024-10-31T06:06:39Z
ppo_3,0.046,0,300,NA,NA,-0.02,0,0,7,linear,500,2024-10-31T06:06:39Z
ppo_7,0.052,0,300,NA,NA,-0.02,0,0,7,linear,500,2024-10-31T06:06:39Z
ppo_14,0.044,0,300,NA,NA,-0.02,0,0,7,linear,500,2024-10-31T06:06:39Z
ppo_21,0.048,0,300,NA,NA,-0.02,0,0,7,linear,500,2024-10-31T06:06:39Z
ppo_28,0.058,0,300,NA,NA,-0.02,0,0,7,linear,500,2024-10-31T06:06:39Z
cox_prop_state1,0.044,0,300,NA,NA,-0.02,0,0,7,linear,500,2024-10-31T06:06:39Z
cox_spline2_state1,0.042,0,300,NA,NA,-0.02,0,0,7,linear,500,2024-10-31T06:06:39Z
cox_prop_state12,0.044,0,300,NA,NA,-0.02,0,0,7,linear,500,2024-10-31T06:06:39Z
cox_spline2_state12,0.048,0,300,NA,NA,-0.02,0,0,7,linear,500,2024-10-31T06:06:39Z
cox_prop_state123,0.04,0,300,NA,NA,-0.02,0,0,7,linear,500,2024-10-31T06:06:39Z
cox_spline2_state123,0.046,0,300,NA,NA,-0.02,0,0,7,linear,500,2024-10-31T06:06:39Z
otm,0.058,0,400,NA,NA,-0.02,0,0,7,linear,500,2024-11-01T00:03:23Z
otm_rand_int,0.054,0,400,NA,NA,-0.02,0,0,7,linear,500,2024-11-01T00:03:23Z
rand_int,0.524,0,400,NA,NA,-0.02,0,0,7,linear,500,2024-11-01T00:03:23Z
free_days8,0.054,0,400,NA,NA,-0.02,0,0,7,linear,500,2024-11-01T00:03:23Z
free_days78,0.052,0,400,NA,NA,-0.02,0,0,7,linear,500,2024-11-01T00:03:23Z
free_days678,0.056,0,400,NA,NA,-0.02,0,0,7,linear,500,2024-11-01T00:03:23Z
free_days5678,0.052,0,400,NA,NA,-0.02,0,0,7,linear,500,2024-11-01T00:03:23Z
free_days45678,0.056,0,400,NA,NA,-0.02,0,0,7,linear,500,2024-11-01T00:03:23Z
free_days345678,0.056,0,400,NA,NA,-0.02,0,0,7,linear,500,2024-11-01T00:03:23Z
free_days2345678,0.054,0,400,NA,NA,-0.02,0,0,7,linear,500,2024-11-01T00:03:23Z
ppo_3,0.058,0,400,NA,NA,-0.02,0,0,7,linear,500,2024-11-01T00:03:23Z
ppo_7,0.056,0,400,NA,NA,-0.02,0,0,7,linear,500,2024-11-01T00:03:23Z
ppo_14,0.054,0,400,NA,NA,-0.02,0,0,7,linear,500,2024-11-01T00:03:23Z
ppo_21,0.052,0,400,NA,NA,-0.02,0,0,7,linear,500,2024-11-01T00:03:23Z
ppo_28,0.052,0,400,NA,NA,-0.02,0,0,7,linear,500,2024-11-01T00:03:23Z
cox_prop_state1,0.052,0,400,NA,NA,-0.02,0,0,7,linear,500,2024-11-01T00:03:23Z
cox_spline2_state1,0.026,0,400,NA,NA,-0.02,0,0,7,linear,500,2024-11-01T00:03:23Z
cox_prop_state12,0.056,0,400,NA,NA,-0.02,0,0,7,linear,500,2024-11-01T00:03:23Z
cox_spline2_state12,0.04,0,400,NA,NA,-0.02,0,0,7,linear,500,2024-11-01T00:03:23Z
cox_prop_state123,0.054,0,400,NA,NA,-0.02,0,0,7,linear,500,2024-11-01T00:03:23Z
cox_spline2_state123,0.036,0,400,NA,NA,-0.02,0,0,7,linear,500,2024-11-01T00:03:23Z
